Codigo,Nome,Descrição,Preço Grande,Preço Gigante
1,Alho e Óleo,"Mussarela, Tomate, Parmesão e Alho",29,65
2,Aliche,"Mussarela, Tomate, Aliche, Parmesão e Cebola",34,68
3,A Moda da Casa,"Mussarela, Brócolis, Champignon, Cebola e Palmito",38,74
4,Atum,"Atum, Tomate, Mussarela e Cebola",40,82
5,Bacon,"Mussarela, Tomate, Bacon e Cebola",35,72
6,Baiana,"Calabresa, Ovo, Mussarela, Cebola e Molho de Pimenta",34,65
7,Brasileira,"Mussarela, Ervilha, Milho, Cebola e Catupiry",32,65
8,Brócolis,"Mussarela,Brócolis,Bacon e Catupiry",35,72
9,Caipira,"Frango Mussarela, Milho e Catupiry",38,76
10,Calabresa,"Mussarela, Calabresa e Cebola",25,52
11,Calafrango,"Calabresa, Frango, Mussarela e Catupiry",38,76
12,Champignon,"Mussarela, Champignon e Cebola",35,72
13,Completa,"Presunto, Calabresa, Frango, Palmito, Ovo, Ervilha, Mussarela, Cebola, Catupiry e Bacon",46,85
14,Chilena,"Presunto, Calabresa, Ervilha, Cebola, Frango, Parmesão e Catupiry",40,80
15,Da Nona,"Atum, Mussarela, Champignon, Cebola e Cebola",44,84
16,Do Cheff,"Frango, Mussarela, Milho, Palmito, Catupiry e Bacon",38,78
17,Dois Queijos,Mussarela e Catupiry,29,65
18,Escarola,"Escarola, Mussarela e Bacon",29,65
20,Forneiro,"Mussaela, Ervilha, Palmito, Bacon e Cebola",36,72
21,Frango Catupiry,"Frango e Catupiry",25,52
22,Grega,"Mussarela, Calabresa, Ervilha, Ovo, Tomate, Bacon e Cebola",38,76
48,Hot Dog,"Mussarela, Salsicha, Vinagrete, Ketchup, Batata Palha e Maionese",29,65
23,Italiana,"Presunto, Frango, Milho e Mussarela",35,72
24,Jardineira,"Mussarela, Milho, Palmito, Pimentão, Champignon, Cebola e Tomate Seco",38,74
25,JP,"Frango, Mussarela, Ovo, Tomate, Bacon e Catupiry",40,80
26,Lombo,"Lombo, Mussarela e Cebola",35,72
27,Lombo Especial,"Lombo, Mussarela, Tomate e Catupiry",38,76
28,Marguerita,"Mussarela, Tomate, Manjericão e Parmesão",38,76
29,Milho,"Mussarela, Milho e Catupiry",30,60
30,Mista,"Presunto, Mussarela e Tomate",29,65
31,Mussarela,Mussarela e Tomate,25,52
32,Napolitana,"Mussarela, Tomate e Parmesão",36,72
33,Palmito,"Mussarela, Palmito e Cebola",38,76
34,Paulista,"Calabresa, Atum, Palmito, Mussarela e Cebola",38,76
35,Pepperoni,"Mussarela, Pepperoni e Cebola",45,88
36,Peito de Peru,"Peito de Peru, Tomate, Milho e Catupiry",38,76
37,Peruana,"Atum, Ervilha, Palmito, Ovo, Mussarela e Cebola",42,84
38,Pizzaiolo,"Presunto, Ervilha, Ovo, Milho, Palmito, Mussarela, Cebola e Bacon",40,80
39,Portuguesa,"Presunto, Ervilha, Ovo, Mussarela e Cebola",25,52
40,Quatro Queijos,"Mussarela, Parmesão, Catupiry e Provolone",38,76
41,Rúcula,"Mussarela, Rúcula e Tomate Seco",35,70
42,Siciliana,"Mussarela, Champignon, Tomate, Bacon e Cebola",38,74
49,Strognoff de Frango,Strognoff de Frango e Batata Palha,29,65
43,Tiosse,"Presunto, Mussarela, Catupiry e Bacon",35,72
44,Toscana,"Calabresa, Mussarela, Bacon e Cebola",36,72
50,Toscana Especial,"Mussarela, Linguiça Toscana, Vinagrete e Cebola",29,65
45,Vegetariana,"Mussarela, Brócolis, Palmito, Ervilha, Milho e Cebola",38,72
47,Viena,"Calabresa, Mussarela, Lombo, Bacon e Cebola",38,76
53,Banana,"Banana, Açucar, Canela e Leite Condensado",28,60
54,Brigadeiro,Chocolate Granulado e Cereja,32,62
55,Prestígio,"Chocolate, Bombom e Coco Ralado",34,64
56,Confete,Chocolate e Confete,34,64
