Codigo,Nome,Descrição,Preço Grande,Preço Gigante
1,Alho e Óleo,"Mussarela, Tomate, Parmesão e Alho",30,59
2,Aliche,"Mussarela, Tomate, Aliche, Parmesão e Cebola",32,63
3,A Moda da Casa,"Mussarela, Brócolis, Champignon, Cebola e Palmito",34,67
4,Atum,"Atum, Tomate, Mussarela e Cebola",38,75
5,Bacon,"Mussarela, Tomate, Bacon e Cebola",33,65
6,Baiana,"Calabresa, Ovo, Mussarela, Cebola e Molho de Pimenta",31,61
7,Brasileira,"Mussarela, Ervilha, Milho, Cebola e Catupiry",30,59
8,Brócolis,"Mussarela,Brócolis,Bacon e Catupiry",33,65
9,Caipira,"Frango Mussarela, Milho e Catupiry",35,69
10,Calabresa,"Mussarela, Calabresa e Cebola",30,60
11,Calafrango,"Calabresa, Frango, Mussarela e Catupiry",34,67
12,Champignon,"Mussarela, Champignon e Cebola",32,63
13,Completa,"Presunto, Calabresa, Frango, Palmito, Ovo, Ervilha, Mussarela, Cebola, Catupiry e Bacon",40,79
14,Chilena,"Presunto, Calabresa, Ervilha, Cebola, Frango, Parmesão e Catupiry",35,69
15,Da Nona,"Atum, Mussarela, Champignon, Cebola e Cebola",36,68
16,Do Cheff,"Frango, Mussarela, Milho, Palmito, Catupiry e Bacon",35,69
17,Dois Queijos,Mussarela e Catupiry,29,58
18,Escarola,"Escarola, Mussarela e Bacon",31,61
19,Fiorentina,"Calabresa, Ovo, Mussarela e Cebola",31,61
20,Forneiro,"Mussaela, Ervilha, Palmito, Bacon e Cebola",33,65
21,Frango Catupiry,"Frango e Catupiry",32,63
22,Grega,"Calabresa, Ervilha, Ovo, Tomate, Bacon e Cebola",32,62
23,Italiana,"Presunto, Frango, Milho e Mussarela",32,63
24,Jardineira,"Mussarela, Milho, Palmito, Pimentão, Champignon, Cebola e Tomate Seco",33,65
25,JP,"Frango, Mussarela, Ovo, Tomate, Bacon e Catupiry",34,67
26,Lombo,"Lombo, Mussarela e Cebola",31,61
27,Lombo Especial,"Lombo, Mussarela, Tomate e Catupiry",32,63
28,Marguerita         ,"Mussarela, Tomate, Manjericão e Parmesão",32,63
29,Milho,"Mussarela, Milho e Catupiry",29,58
30,Mista,"Presunto, Mussarela e Tomate",29,58
31,Mussarela,Mussarela e Tomate,32,63
32,Napolitana,"Mussarela, Tomate e Parmesão",32,63
33,Palmito,"Mussarela, Palmito e Cebola",32,64
34,Paulista,"Calabresa, Atum, Palmito, Mussarela e Cebola",34,67
35,Pepperoni,"Mussarela, Pepperoni e Cebola",38,72
36,Peito de Peru,"Peito de Peru, Tomate, Milho e Catupiry",31,61
37,Peruana,"Atum, Ervilha, Palmito, Ovo, Mussarela e Cebola",34,67
38,Pizzaiolo,"Presunto, Ervilha, Ovo, Milho, Palmito, Mussarela, Cebola e Bacon",36,71
39,Portuguesa,"Presunto, Ervilha, Ovo, Mussarela e Cebola",32,63
40,Quatro Queijos,"Mussarela, Parmesão, Catupiry e Provolone",33,65
41,Rúcula,"Mussarela, Rúcula e Tomate Seco",32,63
42,Siciliana,"Mussarela, Champignon, Tomate, Bacon e Cebola",33,65
43,Tiosse,"Presunto, Mussarela, Catupiry e Bacon",32,63
44,Toscana,"Calabresa, Mussarela, Bacon e Cebola",32,63
45,Vegetariana,"Mussarela, Brócolis, Palmito, Ervilha, Milho e Cebola",34,67
46,Veneza,"Frango, Ervilha, Mussarela, e Cebola",32,63
47,Viena,"Calabresa, Mussarela, Lombo, Bacon e Cebola",32,65
53,Banana,"Banana, Açucar, Canela e Leite Condensado",28,58
54,Brigadeiro,Chocolate Granulado e Cereja,29,58
55,Prestígio,"Chocolate, Bombom e Coco Ralado",29,58
56,Confete,Chocolate e Confete,29,58
